庵	菴
暗	晻
暗	闇
鞍	鞌
岸	㟁
坳	㘭
鳌	鼇
翱	翺
霸	覇
柏	栢
稗	粺
坂	岅
帮	幫
帮	幇
帮	幚
膀	髈
榜	牓
宝	寳
刨	鉋
刨	鑤
褓	緥
褒	襃
背	揹
备	俻
悖	誖
杯	桮
杯	盃
奔	犇
奔	逩
绷	繃
痹	痺
逼	偪
毙	獘
秘	祕
弊	獘
秕	粃
遍	徧
膘	臕
鳖	鼈
瘪	㿜
并	並
并	併
并	竝
冰	氷
禀	稟
钵	缽
钵	盋
博	愽
驳	駮
布	佈
踩	跴
采	寀
采	採
睬	倸
彩	綵
參	叅
惭	慙
操	撡
草	艸
册	冊
厕	廁
策	筞
策	筴
插	揷
查	査
察	詧
谄	謟
铲	剗
铲	剷
刬	鏟
尝	嚐
尝	甞
肠	膓
场	塲
扯	撦
趁	趂
乘	乗
乘	椉
塍	堘
撑	撐
澄	澂
耻	恥
敕	勅
敕	勑
翅	翄
痴	癡
吃	喫
仇	雠
仇	讎
仇	讐
雠	讐
绸	紬
瞅	矁
酬	詶
酬	酧
酬	醻
厨	㕑
厨	廚
蹰	躕
橱	櫉
橱	櫥
锄	耡
锄	鉏
船	舩
创	剏
创	剙
床	牀
窗	牎
窗	牕
窗	窓
窗	窻
捶	搥
棰	箠
锤	鎚
蠢	惷
春	旾
淳	湻
莼	蓴
唇	脣
醇	醕
辞	辤
词	䛐
糍	餈
鹚	鶿
匆	怱
匆	悤
葱	蔥
凑	湊
蹴	蹵
粗	麤
粗	觕
篡	簒
脆	脃
悴	顇
村	邨
锉	剉
挫	銼
呆	獃
玳	瑇
啖	啗
啖	噉
耽	躭
挡	攩
荡	盪
岛	㠀
捣	擣
德	惪
凳	櫈
抵	牴
抵	觝
堤	隄
蒂	蔕
雕	彫
雕	鵰
雕	琱
吊	弔
蝶	蜨
叠	曡
叠	疊
叠	㬪
喋	啑
碇	矴
碇	椗
兜	兠
斗	鬦
斗	鬬
斗	闘
豆	荳
动	働
睹	覩
妒	妬
遁	遯
敦	㪟
墩	墪
惇	㥫
朵	朶
垛	垜
跺	跥
额	頟
扼	搤
萼	蕚
峨	峩
鹅	鵝
鹅	鵞
鹅	䳘
婀	娿
厄	戹
厄	阨
鳄	鱷
腭	齶
讹	譌
恩	㤙
尔	尒
罚	罸
筏	栰
法	㳒
法	灋
珐	琺
繁	緐
翻	飜
翻	繙
帆	颿
帆	㠶
凡	凣
泛	汎
泛	氾
仿	倣
仿	髣
痱	疿
废	癈
氛	雰
蜂	䗬
蜂	蠭
峰	峯
俯	頫
俯	俛
佛	彿
佛	髴
妇	媍
附	坿
麩	粰
麩	䴸
戛	戞
嘎	嘠
丐	匃
丐	匄
概	槩
贛	灨
贛	贑
秆	稈
杆	桿
干	乹
干	亁
干	榦
杠	槓
扛	摃
肛	疘
皋	皐
皋	臯
槁	槀
糕	餻
稿	稾
胳	肐
阁	閤
个	箇
歌	謌
亘	亙
粳	秔
粳	粇
